sentence,suggested ellipsis resolution,ellipsis type,source
"Сердце оставалось таким же сильным, душа __ такой же целостной.",оставалась,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Природа была велика, подвижна, реальна, жизнь человека - __ печальна и радостна.",была,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Множество, не являющееся конечным, мы будем называть бесконечным, а его кардинальное число — __ бесконечным или трансфинитным кардинальным числом.",будем называть,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Я очень люблю его, а он __ меня.",очень любит,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В первом случае мы будем говорить просто об изоморфизме, а во втором — __ об инверсном изоморфизме тел АГ и АГ.",будем говорить,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Birch®, Carta®, Mythos®, Quake® и Tekton® являются зарегистрированными товарными знаками, а Adobe Jenson™, технология Adobe Brilliant Screens™ и IntelliSelect™ — __ товарными знаками компании Adobe Systems или ее дочерних компаний, причем последние могут быть зарегистрированы в отдельных странах.","являются, являются зарегистрированными",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Так что через несколько дней Хряк, понятное дело, нервничал, пытаясь одновременно отдать честь, предъявить удостоверение личности и увольнительную, кося при этом одним глазом на Нупа, а другим – __ на вещмешок с радиолампами.",кося,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Доля его активов в суммарных активах банковской системы республики составляет около 35%, собственного капитала (в совокупном собственном капитале банков) - __ 55%.",составляет,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Валютой отчетности для Группы является доллар США, функциональной валютой - __ российский рубль.",является,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Не вызывает удивления и то, что эти пять стран входят в число восьми стран региона, в которых охват полным средним образованием составляет менее 50 процентов, а четыре – __ в число восьми стран, уровень охвата дошкольным образованием в которых ниже 30 процентов (глава 3).",входят,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Из стен выступали полки, пока они были пустыми; к середине руля был приделан компас, а к полу – __ жестяная зеленая коробка передатчика с телефонной трубкой.",была приделана,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Печать на бумаге формата A4 выполняется со скоростью до 38 стр./мин., а на бумаге формата Letter — __ до 40 стр./мин.",выполняется со скоростью до,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Она изображается с двумя вазами: из одной она изливает воду, символ Света, на себя, а из другой __ на землю.",изливает воду,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Председателем круглого стола A был заместитель Председателя Совета Жан-Марк Хошайт (Люксембург), а координатором — __ министр экономики и финансов Нигера Али Махаман Ламин Зейн.",был,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Быстрее всего восстанавливаются трицепсы, медленнее всего __ мышцы спины.",восстанавливаются ,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Размеренный ритм успокаивал, к тому же они говорили о самых обычных вещах: о работе, о мировоззрении… Джун была буддисткой, а Лотти – __ язычницей.",была,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Экспорт товаров и услуг по сравнению с I кварталом 2005 г. возрос на 10,9 млрд. ф. стг. (на 14,4%), импорт — __ на 14 млрд. ф. стг. (на 16,1%).",вырос,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В настоящее время один проект, начатый в предыдущем отчетном периоде, находится на заключительных этапах осуществления, и два новых — __ на стадии разработки.",проекта находятся,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Индекс промышленного производства за январь-февраль 2008 г. составил 106,0%, инвестиций в основной капитал - __ 120,2% и оборота розничной торговли - __ 116,3%.","составил, составил",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Маша получила 6 лайков за фото, а Наташа __ 72 лайка __.","получила, за фото","gapping, PP-ellipsis",https://github.com/dialogue-evaluation/AGRR-2019
"По венам течет кровь, по ручью __ вода.",течет,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В соответствии с установившейся практикой Комитета на выступления в ходе общих прений по каждому пункту или группе пунктов повестки дня отводится до 7 минут, а на выступления от имени группы делегаций —__ до 15 минут.",отводится,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Магазинчик был маленьким, а мясник и его супруга __ очень большими, поэтому, когда к ним прибавились мы с женой, в лавке стало совсем тесно.",были,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Из 10 миллионов армян, разбросанных по всему миру, лишь 3 миллиона живут на исторической родине; более 2 миллионов проживают в России, и еще 1,5 миллиона - __ в Соединенных Штатах.",проживают,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Лицо у нее было бледное и широкое, голос – __ густой.",у нее был,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Судья посмотрела на свои часы, затем – __ на меня.",посмотрела,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Потому что Ты научил меня тому, что прощение является высшим уровнем прочности, а месть - __ высшим уровнем слабости.",является,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"А потом еще и говорят, мол, чужое мнение надо уважать, а свое __ держать при себе.",мнение надо,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"И также никогда не задавался вопросом: почему мужчины думают головой, а женщины — __ сердцем.",думают,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Однако инвестиционные расходы компаний уменьшились на 6.1%, импорт - __ на 7%.",уменьшился,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Хотя по сути ты будешь просто нормальным человеком, а они __ дерьмом.",будут,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Упругий элемент одним концом закреплен на шпинделе, а другим концом - __ на насадке.",закреплен,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В частности, в Word 2010 блокировка выполняется на уровне абзаца, а в PowerPoint 2010 — __ на уровне слайда.",выполняется,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Web-разработчиков привлекает их гибкость и возможности, а системных администраторов - __ маленькое дисковое пространство и простота в обслуживании клиентов .",привлекает,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Кому то не хватает бухла , кому то __ сигарет , наркотиков , а мне не хватает спорта и только спорта !)",не хватает,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"По сравнению с предыдущим годом объем продаж группы Baltika во втором квартале вырос на 13%, а совокупный объем продаж __ на 5%.",вырос,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Я смотрел, и каждая улочка казалась мне изящной аллеей, каждый домишко — __ дворцом, а двухэтажные дома — __ небоскребами.","казался, казались",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Менеджмент завода рассчитывает, что участие Renault в данном проекте составит 50% (120 млн евро), а АВТОВАЗа и Nissan - __ по 25% (по 60 млн евро).",составит,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"За период 1994-1995 годов общий объем объявленных донорами взносов равнялся 1,41 млрд. долл. США, а выплат - __ 900.5 млн. долл. США.",равнялся,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"При запуске веб-сайта это свойство устанавливается в значение True, а при остановке - __ в значение False.",веб-сайта это свойство устанавливается,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Доча кайфует от новых духов и блеска, а я от __ дочи",кайфую,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Вот почему, как она и признавалась ему, пансион был для нее чем-то вроде тюрьмы, а ученье – __ наказанием.",было,gapping,https://github.com/dialogue-evaluation/AGRR-2019
Первое утверждение следует для Q0 и Qoc из 72.1 и теоремы 71.1; для (F) и Q0ic - __ из 72.1 и теоремы 71.Е; для Qon и Q02 доказывается переходом к дополнениям.,следует,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Ханна опустилась на колени у носилок, положив одну руку на холодный металл, а другую – __ на плечо умирающего.",положив,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Средний уровень безработицы, рассчитанный на базе основных показателей, на Западном берегу в 1998 году составил 12,3 процента, а в секторе Газа - __ 23,5 процента.",составил,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В масштабе страны координация и осуществление мероприятий в этой области возлагается на Национальное агентство по делам детей, а на местах – __ на губернаторов провинций.",возлагается,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Показатели развивающихся стран по одним категориям товаров свидетельствуют о большом успехе, а по другим - __ о слабости положения.",свидетельствуют,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Люди считают дреды, пирсинг и татуировки уродством, а свою жирную, страшную морду __ эталоном красоты.",считают,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"«Сглаз — это истина. Он загоняет человека в могилу, верблюда — __ в кастрюлю».",загоняет,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"На наш взгляд, это именно тот подход, благодаря которому мы сможем предоставить нашему государству потенциал для защиты уязвимых слоев населения, а нашим гражданам — __ средства для строительства лучшего будущего.",мы сможем предоставить,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Прямое воздействие риска процентных ставок является незначительным, а риска, связанного с обменным курсом — __ несущественным, что объясняется почти полным совпадением чистых позиций в иностранных валютах.",является,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Семья была всем, браки – __ ничем.",были,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Таким образом, история бронзы в Новом Свете неразрывно связана со Старым Светом, а история олова в Андах, откуда происходит бронза Нового Света, — __ с озером Титикака.",неразрывно связана,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Одна секция, расположенная на берегу реки, вполне могла быть городком в самом центре штата Мэн, другая – __ маленьким поселком, типичным для американского Юга, еще одна секция могла быть оживленной улицей крупного города.",вполне могла быть,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Рукава в нижней части можно было стянуть шнурками, а саму куртку на талии __ затянуть на шнур, пропущенный в кулиске.",можно было,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Левой рукой давите вниз,а правой __ вверх.",давите,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Некоторые торговцы отлично продают один вид товаров или услуг, а другие - __ другой.",отлично продают,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Количество видов достигло 32, а таксонов - __ 13.",достигло,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Беззаботно текла жизнь Водяного цветка, и на всей земле она любила только свою мать - росу, а в небе - __ солнечный луч - своего отца.",любила только,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Существование чисел а1, ..., ап обеспечивается полнотой базиса, а их единственность — __ его линейной независимостью.",обеспечивается,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"За годы войны мощность электростанций в Кузбассе возросла в 1,6 раза, а производство электроэнергии - __ в 2 раза и достигло в 1945 году 2765 млн. кВт-часов.",возросло,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Три молодых индейца шли впереди, еще три — __ позади Рейчел.",шли,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Вставьте компакт-диск Windows в дисковод для чтения компакт-дисков, а дискету с файлом ответов — __ в дисковод.",вставьте,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Объем промышленной продукции по сравнению с I полугодием 2003г. увеличился на 7,4%, __ строительства __ на 14,2%.",объем увеличился,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"По мере того как стены его темницы продолжали сдвигаться, а сознание __ затуманиваться, им овладевали старые страхи.",продолжало,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"В эконом-классе днем посадка будет стоить 65 рублей, каждая минута — __ 12 рублей; после 21:00 тариф на посадку повышается до 90 рублей, а каждая минута пути обойдется в 15 рублей.",будет стоить,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Я вижу бело-золотое платье, а благодаря тени или фш, белый цвет кажется серым, а золотой - __ коричневым.",цвет коричневым,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Кого-то волнует уровень жизни, а кого-то — __ уровень коррупции.",волнует,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"И тут все ясно: цветы придется покупать, а праздничную атмосферу __ организовывать.",придется,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Сначала идет недовольство собой, потом __ миром, потом __ всеми остальными людьми.","недовольство, недовольство",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Mitchell & Burkhauser (1990), используя данные Обследования по вопросам нетрудоспособности и занятости, проведенного в 1978 г., нашли, что артрит снижал заработную плату мужчин на 27,7%, а __ женщин __ на 42,0%.","заработную плату, снижал",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Единица означает минимальную мощность, пять — __ максимальную __.","означает, мощность","gapping, NP-ellipsis",https://github.com/dialogue-evaluation/AGRR-2019
"DuoSwitch является товарным знаком, а Wacom - __ зарегистрированным товарным знаком компании WacomCo.",является,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Экипаж вражеского танка состоял из трех ящеров, экипаж «шермана» — __ из пяти человек.",состоял,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Ликер видом напоминал вежеталь, а запахом — __ итальянский ликер «стрега».",напоминал,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Инвестиции в основной капитал по сравнению с прошлым годом выросли на 48,6%, объем подрядных работ, выполненный строительными организациями - __ на 43%.",вырос,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Разложим требуемое отображение в композицию (F), где Pi и p2 — проекции, второе отображение является умножением в кольце A(SrxSr), а последнее __ — __ гомоморфизмом расширения из 5.12.1.","отображение, является",gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Каждая из этих категорий затем разбита на различные подкатегории, а большая часть подкатегорий — __ на еще более мелкие подкатегории.",разбита,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Справа стояли вооруженные молодые люди, слева — __ женщины и дети.",стояли,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Под ее взглядом, полным огромной ответственности за родителей, отец превратился в мальчишку, на которого нельзя положиться, мать – __ в призрак.",превратилась,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Чтобы упростить обозначения, все высшие уровни отмечены четными числами, а все низшие уровни - __ нечетными.",отмечены,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Здесь красота соседствует с самодисциплиной, а поэзия — __ с искусством войны.",соседствует,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Белладонна смотрела куда‑то в пространство и сказала без особого энтузиазма: – Сначала ты делаешь мне, а потом – я __ тебе.",делаю,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Одна из них предназначена для взаимодействия с корпусом, а другая __ - с дифференциальным винтом.",предназначена для взаимодействия,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Водитель был вооружен пистолетом, кассир рядом с ним – __ винтовкой.",был вооружен,gapping,https://github.com/dialogue-evaluation/AGRR-2019
"Граница Финландии с Россией длинная, __ с Норвегией короткая, а __ со Швецией - средняя.",граница,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Подруга всегда рекомедует мне новую музыку, но я ещё слушаю старую __.",музыку,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"У меня день рождения в июне, и у моей сестры тоже __",день рождения в июне,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"У нас в городе нет бассейна, а у них есть __.",бассейн,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Дина купила своей дочери школьные учебники, а Паша не купил __.",своей дочери школьные учебники,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Cледовательно, бросая камень, мальчик не увеличил его кинетическую энергию, a уменьшил __.",его кинетическую энергию,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Там знали, что Крымов невиновен, a посадили __.",Крымова,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Мы купили ту книгу по математике после того, как он купил эту __.",книгу по математике,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Саша прочитал мою статью, а Дима прочитал твою __.",статью,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Петя увидел белого зайца после того, как Вася увидел черного __.",зайца,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/data/NP_ellipsis.txt
"Я задал ему три вопроса, а ей только два __.",вопроса,NP_ellipsis,https://github.com/dcavar/thec_rus/blob/main/experiment1_results/task3/Russian_gpt-4-turbo_task3_random_ru_1.csv
"Мы купили новый телевизор, но ещё не установили __.",телевизор,NP_ellipsis,original
"Петя купил красивую кофту, а Ваня уродливую __.",кофту,NP_ellipsis,original
"Мои друзья советуют мне купить красивую машину, но я хочу надежную __.",машину,NP_ellipsis,original
"Я люблю английскую литературу, а паша предпочитает русскую __.",литературу,NP_ellipsis,original
"Сочи яркий город, а Гатчина серый __.",город,NP_ellipsis,original
"Инкассаторы охраняют деньги, а воры похищают __.",деньги,NP_ellipsis,original
"Я заказала ассорти круп, но пока не пробовала __.",ассорти круп,NP_ellipsis,original
"Я открыла чай, но ещё не заварила __.",чай,NP_ellipsis,original
"Я выбрала подарок коллеге, но ещё не заказала __.",подарок,NP_ellipsis,original
"Маша завела будильник на десять, но проснулась, выключила __ и уснула снова.",будильник,NP_ellipsis,original
"Маша обещала забрать сестру в семь, но не забрала __ и не предупредила об этом.",сестру,NP_ellipsis,original
"Ваня хотел повесить постер, но порвал __ и расстроился.",постер,NP_ellipsis,original
"Котёнок пытался поймать муху, но не догнал __ и грустно смотрел ей вслед.",муху,NP_ellipsis,original
"Оля рисовала картину, но опрокинула палитру и не дорисовала __.",картину,NP_ellipsis,original
"В магазине было много яблок, я выбрал самые спелые __ и купил __.","яблоки, яблоки",NP_ellipsis,original
Ваня не увидел в задаче минус и решил __ неправильно.,задачу,NP_ellipsis,original
"Диана иногда покупает полуфабрикаты, а Маша никогда не покупает __.",полуфабрикаты,NP_ellipsis,original
"Мария Ивановна отправляет студентам демоверсии, а Любовь Петровна не отправляет __.",демоверсии,NP_ellipsis,original
"Ученики 5 ""А"" приносят конфеты одноклассникам в день рождения, а ученики 5 ""Б"" не приносят __.",конфеты одноклассникам,NP_ellipsis,original
"Ольга Викторовна проверила контрольные работы, а Ксения Денисовна не проверила __.",контрольные работы,NP_ellipsis,original
"Маша связала игрушку, а Катя сшила __.",игрушку,NP_ellipsis,original
"Амир не сдал экзамен, расстроился, занервничал и потом сдал __.",экзамен,NP_ellipsis,original
"Маруся написала текст, а Ольга Викторовна не проверила __.",текст,NP_ellipsis,original
"Катя взяла из библиотеки книгу, но вернуть не успела __.",книгу,NP_ellipsis,original
"Андрей написал письмо другу, но отправить __ не успел.",письмо,NP_ellipsis,original
"Учительница задала домашнее задание, но никто не выполнил __.",домашнее задание,NP_ellipsis,original
"Бабушка испекла пирог, но попробовать __ удалось только утром",пирог,NP_ellipsis,original
"Маша купила новый альбом, но забыла __ дома",альбом,NP_ellipsis,original
"Вчера мы смотрели фильм, обсудить __ не успели",фильм,NP_ellipsis,original
"Мы купили билеты на концерт, только найти __ перед выходом не смогли.",билеты,NP_ellipsis,original
"Лена потеряла ключи, а Юля нашла __.",ключи,NP_ellipsis,original
"Петя организовал встречу, а Витя отменил __.",встречу,NP_ellipsis,original
"Сергей купил машину, а Евгений продал __.",машину,NP_ellipsis,original
"Лиля сочинила стих-поздравление Пете, а Маша и Витя не сочинили __.",стих-поздравление,NP_ellipsis,original
"Петя помыл свою машину, а Ваня свою __.",машину,NP_ellipsis,original
"Маша связала платье, и Вика тоже связала __.",платье,NP_ellipsis,original
"Леня уже работает учёным, а Костя только хочет работать __.",ученым,NP_ellipsis,original
"Вера хочет приготовить макароны, хотя Галина уже приготовила __.",макароны,NP_ellipsis,original
"Петя просит купить ему красную машинку, потому что Вите купили синюю __.",машинку,NP_ellipsis,original
"Лена носит платья только по выходным, а Тамара вообще не носит __.",платья,NP_ellipsis,original
"Кирилл играет на акустической гитаре, поэтому Максим учится играть на электронной __.",гитаре,NP_ellipsis,original
Здравствуйте! А вы читали книгу «Пиранези» Сюзанны Кларк? Сейчас читаю __.,книгу «Пиранези» Сюзанны Кларк,NP_ellipsis,original
"Стас, пропустили два колеса и руль, а так велик в комплекте!
Я о том же! Собирать-то __ давно начал.",велик,NP_ellipsis,[Форум: Горный двухподвесочный (2010)]
"Маша нашла мой телефон, а твой __ она пока не нашла.",телефон,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Маша нашла мою зарядку, а твою __ она пока не нашла.",зарядку,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Маша нашла мое разрешение, а твое __ она пока не нашла.",разрешение,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Мой единственный зонт я купил, а ты все свои __ украл.",зонты,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Все мои чашки помыл я, а твою __ чашку не трогал.",чашку,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Мне очень нравятся высокие каменные дома, а Васе нравятся низкие деревянные __.",дома,NP_ellipsis,"Kasenov, D. (2025). An NP ellipsis version of the adnominal theory for Russian long form adjectives."
"Этот пейзаж был написан пять лет назад, а тот __ не закончен до сих пор.",пейзаж,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Её работу взяли на выставку, а мою __ продали на аукционе.",работу,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Пять полотен сгорели при пожаре, а семь __ были утеряны при переезде.",полотен,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Вход на основную экспозицию бесплатный, а на временную __ осуществляется по приобретённым в кассе билетам.",экспозицию,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Мы купили альбом в мягкой обложке, а вы купили __ в твёрдом переплёте.",альбом,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Тупогуб бык, и Бурёнка тоже __.",корова,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Бурёнка корова, и Тупогуб тоже __.",бык,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Петя дежурный, и Маша тоже __.",дежурная,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Маша дежурная, и Петя тоже __.",дежурный,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Витя адвокат, и Даша тоже __.",адвокат,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Костя тупица, и Лев тоже __.",тупица,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
Правая рука сильнее левой __.,руки,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"Первую мировую войну он провел в окопах, во время второй __ был журналистом.",мировой войны,NP_ellipsis,"Dorofeeva, E. (2024). Restrictions on identity in NP-ellipsis with adjectival remnant in Russian. // Thesis paper."
"В нашей новой спальне три окна, а в прошлой было лишь два __.",окна,NP_ellipsis,https://ru.ruwiki.ru/wiki/%D0%AD%D0%BB%D0%BB%D0%B8%D0%BF%D1%81%D0%B8%D1%81_%D0%B8%D0%BC%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B
Из ваших статей я прочитала только твою __.,статью,NP_ellipsis,original
"Я съел пять тарелок супа, а Иван лишь одну __.",тарелку супа,NP_ellipsis,original
"Три коровы укрылись от дождя в сарае, но еще четыре __ гуляли в поле.",коровы,NP_ellipsis,original
